	Day	Date	Time	Place	Title	Rating	tmdb_id	original_language	release_date	budget	revenue	runtime	genre	director	cast
176					Shadow Magic		68894.0	en	2000-09-08	0.0	0.0	116.0	['Drama', 'Foreign', 'History']	Ann Hu	
177					The Vertical Ray of the Sun		34899.0	vi	2000-05-24	0.0	0.0	112.0	['Drama', 'Foreign', 'Romance']	Tran Anh Hung	
178					The Devil’s Backbone		1433.0	es	2001-04-20	4500000.0	6459020.0	106.0	['Fantasy', 'Drama', 'Horror', 'Thriller', 'Science Fiction']	Guillermo del Toro	
179					Divided We Fall		451063.0	en		0.0	0.0	0.0	[]	nan	
180					Amelie		194.0	fr	2001-04-25	10000000.0		122.0	['Comedy', 'Romance']	Jean-Pierre Jeunet	
181					Buena Vista Social Club		11779.0	en	1999-02-17	0.0	0.0	105.0	['Documentary', 'Music']	Wim Wenders	
182					Everyone Says I Love You		9716.0	en	1996-12-06	20000000.0	0.0	101.0	['Music', 'Comedy', 'Romance']	Woody Allen	
183					Topsy Turvy		160810.0	da	1983-10-06	0.0	0.0	92.0	['Romance', 'Comedy', 'Drama']	Edward Fleming	
184					Ruthie & Connie		327490.0	en		0.0	0.0	56.0	[]	nan	
185					Myth of Father		461832.0	en		0.0	0.0	0.0	[]	nan	
186					Incidental Journey			nan	nan					nan	
187					The Legend of Leigh Bowery		180399.0	en	2002-04-13	0.0	0.0	83.0	['Documentary']	Charles Atlas	
188					Daddy and Papa		55087.0	en	2002-01-11	0.0	0.0	57.0	['Documentary']	Johnny Symons	
189					It Kinda Scares Me			nan	nan					nan	
190					Oz Shorts		338508.0	en	2001-10-24	0.0	0.0	0.0	[]	nan	
191					Guardians of The Frontier			nan	nan					nan	
192					Boob Tube: Girls' Shorts			nan	nan					nan	
193					The Gift		328425.0	en	2015-07-30	5000000.0	58978653.0	108.0	['Thriller', 'Mystery']	Joel Edgerton	
194					Hard Fat		102604.0	en	2002-08-24	0.0	0.0		['Documentary']	Frederic Moffet	
195					Hand of the Pulse			nan	nan					nan	
196					L.I.E.		18734.0	en	2001-01-20	700000.0	1667192.0	97.0	['Drama']	Michael Cuesta	
197					Back By Popular Demand			nan	nan					nan	
198					The Spirit of the Beehive		4495.0	es	1973-10-08	0.0		97.0	['Drama', 'Fantasy']	Víctor Erice	
199					Frankestein		100241.0	en	2014-01-22	65000000.0	71154592.0	92.0	['Horror', 'Thriller']	Stuart Beattie	
200					The Golem		169479.0	en	1936-02-13	0.0	0.0	96.0	[]	Julien Duvivier	
201					Outback Opera			nan	nan					nan	
202					Cape Fear		1598.0	en	1991-11-15	35000000.0	182300000.0	128.0	['Crime', 'Thriller']	Martin Scorsese	
203					The Night of the Hunter		3112.0	en	1955-04-03	795000.0	0.0	93.0	['Thriller', 'Crime']	Charles Laughton	
204					Sunless		1563.0	fr	1983-02-15	0.0	30878.0	100.0	['Documentary']	Chris Marker	
205					Vertigo		426.0	en	1958-05-09	2479000.0	28000000.0	128.0	['Mystery', 'Romance', 'Thriller']	Alfred Hitchcock	
206					The Back of Beyond		125775.0	nan	1954-05-05	0.0	0.0	65.0	['Documentary']	John Heyer	
207					Night Mail		77963.0	nan	1936-01-13	0.0	0.0	25.0	['Documentary']	nan	
208					Night Cries		370152.0	nan	2015-11-27	0.0	0.0	102.0	['Western', 'Action']	Andrew Cymek	
209					Jedda		118490.0	nan	1955-05-05	0.0	0.0	101.0	['Action', 'Adventure', 'Drama']	Charles Chauvel	
210					Irma Vep		25355.0	nan	nan	0.0		99.0	['Drama', 'Comedy', 'Horror']	Olivier Assayas	
211					The Heroic Trio		43636.0	cn	1993-02-12			88.0	['Action', 'Fantasy', 'Science Fiction']	Johnnie To	
212					Les Vampires (Episodes 1 &2)			nan	nan					nan	
213					Judex		56801.0	en	1916-12-16	0.0		300.0	['Adventure']	Louis Feuillade	
214					Assault on Precint 13			nan	nan					nan	
215					Rio Bravo		301.0	en	1959-03-17	0.0	5800000.0	141.0	['Western']	Howard Hawks	
216					Mad Max		9659.0	en	1979-04-12	400000.0	100000000.0	93.0	['Adventure', 'Action', 'Thriller', 'Science Fiction']	George Miller	
217					Kiss Me Deadly		18030.0	en	1955-05-18	0.0	0.0	106.0	['Drama', 'Mystery', 'Thriller']	Robert Aldrich	
218					Kiss me deadly		18030.0	en	1955-05-18	0.0	0.0	106.0	['Drama', 'Mystery', 'Thriller']	Robert Aldrich	
219					The Blade		42845.0	cn	1995-12-21	0.0		101.0	['Drama', 'Action']	Tsui Hark	
220					Raising Arizone			nan	nan					nan	
221					Mad Max 2		8810.0	en	1981-12-24	2000000.0	24600832.0	95.0	['Adventure', 'Action', 'Thriller', 'Science Fiction']	George Miller	
222					Beau Travail		14626.0	fr	2000-05-03	0.0	0.0	90.0	['Drama']	Claire Denis	
223					Le Petit Soldat		50785.0	fr	1963-01-25	180000.0	0.0	88.0	['Drama', 'War']	Jean-Luc Godard	
224					The Conversation		592.0	en	1974-04-07	1600000.0	4420000.0	113.0	['Crime', 'Drama', 'Mystery']	Francis Ford Coppola	
225					Blow Up		361414.0	en	2013-07-10	0.0	0.0	7.0	['Comedy']	John Frohlich	
226					Afterlife		129874.0	nan	1978-01-01	0.0	0.0	7.0	[]	Ishu Patel	
227					Places without Engine			nan	nan					nan	
228					Video Poem			nan	nan					nan	
229					Eurovision		398661.0	en	2014-05-17	0.0		0.0	['Family', 'Music']	nan	
230					Quadro		472162.0	pt	nan	0.0	0.0		[]	Txai Ferraz	
231					La Tombola		467350.0	es	2001-01-01	0.0	0.0	8.0	[]	Ximena Cuevas	
232					Agent Orange		45923.0	en	2004-09-20		0.0	5.0	['Drama']	Tony Scott	
233					Cows		2441.0	es	1992-02-26	0.0	0.0	96.0	['Drama']	Julio Médem	
234					Whir		17236.0	en	2006-05-02	0.0	0.0	99.0	['Romance', 'Drama']	Jim Wilson	
235					What Time is There?		24166.0	zh	2001-05-15	0.0	0.0	116.0	['Drama', 'Romance']	Tsai Ming-liang	
236					The 400 Blows		147.0	fr	1959-05-04	0.0	0.0	99.0	['Drama']	François Truffaut	
237					Zero for Conduct		374155.0	el	1949-03-07	0.0	0.0	83.0	['Comedy']	Mihalis Gaziadis	
238					Taxi Driver		103.0	nan	1976-02-07	1300000.0	28262574.0	114.0	['Crime', 'Drama']	Martin Scorsese	
239					The Searchers		3114.0	en	1956-03-13	3750000.0	0.0	119.0	['Western']	John Ford	
240					Hildegarde		104788.0	en	2001-10-10	0.0	0.0	88.0	['Adventure', 'Family', 'Foreign']	Di Drew	
241					Bsss		444821.0	de	2000-02-12	0.0	0.0	3.0	['Animation', 'Comedy']	Felix Gönnert	
242					Comics Trip			nan	nan					nan	
243					Knickknack			nan	nan					nan	
244					Tin Toy		13927.0	en	nan	0.0	0.0	5.0	['Animation']	John Lasseter	
245					The Dingles		435212.0	en	1988-01-15	0.0	0.0	7.0	[]	Les Drew	
246					Rudyard Kipling's How the Elephant got his Trunk			nan	nan					nan	
247					Three Little Bops		91204.0	en	1957-01-04	0.0	0.0	7.0	['Animation', 'Family', 'Comedy']	Friz Freleng	
248					Candy Town		161882.0	en	1933-01-13	0.0	0.0	6.0	['Fantasy', 'Animation', 'Comedy']	John Foster	
249					Boogie Nights		4995.0	en	1997-09-11	15000000.0	43101594.0	155.0	['Drama']	Paul Thomas Anderson	
250					Sweet Smell Of Success		976.0	en	1957-06-27	0.0	0.0	96.0	['Drama']	Alexander Mackendrick	
251					Sweet smell of success		976.0	en	1957-06-27	0.0	0.0	96.0	['Drama']	Alexander Mackendrick	
252					Windhorse		169627.0	en	1998-09-14	0.0	278161.0	97.0	[]	Paul Wagner	
253					Home to Tibet: the Story of Sonam Lama's Return to his Homeland			nan	nan					nan	
254					Samsara		89708.0	en	2011-09-16	4000000.0	0.0	102.0	['Drama', 'Documentary']	Ron Fricke	
255					The Tibetan Offspring: Survivors of an Ancient Culture			nan	nan					nan	
256					Cave in the Snow		424890.0	en	2002-01-01	0.0	0.0	52.0	[]	nan	
257					Young Hearts		315660.0	en	1936-01-04	0.0	0.0	0.0	[]	Heinz Josephson	
258					Yogis of Tibet		57858.0	en	2002-01-03	500.0	0.0	77.0	['Documentary']	nan	
259					The Spirit of Tibet: Journey to Enlightenment		396171.0	en	1995-07-09	0.0	0.0	43.0	['Documentary']	Matthieu Ricard	
260					Far From Heaven		10712.0	en	2002-09-01		29027914.0	107.0	['Drama', 'Romance']	Todd Haynes	
261					All That Heaven Allows		43316.0	en	1955-12-25	0.0	3100000.0	89.0	['Drama', 'Romance']	Douglas Sirk	
262					Imitation of Life		34148.0	en	1959-01-01	0.0	0.0	125.0	['Drama', 'Romance']	Douglas Sirk	
263					Ayurveda: The Art of Being			nan	nan					nan	
264					A Story that Begins at the End			nan	nan					nan	
265					Shadow Kill		217793.0	en	2004-09-10	0.0	0.0	21.0	['Science Fiction']	John Bailey	
266					Chandni Bar		20769.0	en	2001-09-28		0.0	150.0	['Crime', 'Drama']	Madhur Bhandarkar	
267					A Tale of a Naughty Girl		209312.0	en	2003-09-18	0.0	0.0	90.0	[]	Buddhadeb Dasgupta	
268					A Peck on the Cheek		40998.0	nan	2002-02-14	0.0	0.0	123.0	['Drama', 'Foreign', 'War']	Mani Ratnam	
269					The Quiet American		8198.0	nan	2002-11-22	30000000.0	27674124.0	101.0	['Drama', 'Action', 'Thriller', 'Romance']	Phillip Noyce	
270					The Rite, A Passion		211909.0	te	2002-01-01	0.0	0.0	89.0	['Drama']	nan	
271					Good Bye, Lenin!		338.0	de	2003-02-09	4800000.0	79384880.0	121.0	['Comedy', 'Drama', 'Romance']	Wolfgang Becker	
272					I'm the Father		99640.0	de	2002-09-26	0.0	0.0	102.0	[]	Dani Levy	
273					Shattered Glass		13537.0	en	2003-11-14	6000000.0	2944752.0	94.0	['Drama', 'History']	Billy Ray	
274					A Time for Drunken Horses		29270.0	fa	2000-01-01	0.0	0.0	80.0	['Drama']	Bahman Ghobadi	
275					Karamuk		433254.0	de	2003-01-31	0.0	0.0		['Comedy']	Verena S. Freytag	
276					The Cabinet of Dr.Caligari			nan	nan					nan	
277					Devoted		45431.0	en	1998-01-04	0.0	0.0	99.0	['Horror', 'Thriller']	Steve Cohen	
278					The Flying Classroom		11642.0	de	1973-10-25	0.0	0.0	88.0	['Comedy']	Werner Jacobs	
279					June Moon		38862.0	de	2002-10-24	0.0	0.0	92.0	['Drama', 'Romance']	Hanno Hackfort	
280					Solino		11628.0	de	2002-09-23	0.0	0.0	120.0	['Comedy', 'Drama']	Fatih Akin	
281					The Last Laugh		343887.0	en	2016-04-18	0.0	0.0	89.0	['Documentary']	Ferne Pearlstein	
282					Pigs Will Fly		155046.0	de	2003-01-09	0.0	0.0	0.0	['Drama']	Eoin Moore	
283					Word Tribe (La Tribu de las Palabras)			nan	nan					nan	
284					Baby		314389.0	hi	2015-01-23	0.0	0.0	160.0	['Action', 'Crime', 'Mystery', 'Thriller']	Neeraj Pandey	
285					Minority Report		180.0	en	2002-06-20	102000000.0	358372926.0		['Action', 'Thriller', 'Science Fiction', 'Mystery']	Steven Spielberg	
286					Sass		11311.0	de	2001-09-27	0.0	0.0	127.0	['Drama']	Carlo Rola	
287					Tattoo		9908.0	en	2002-04-04	0.0	0.0	108.0	['Thriller', 'Drama', 'Crime']	Robert Schwentke	
288					Gattaca		782.0	en	1997-09-07	36000000.0	12532777.0	106.0	['Thriller', 'Science Fiction', 'Mystery', 'Romance']	Andrew Niccol	
289					Sophiiie!			nan	nan					nan	
290					The Truman Show		37165.0	en	1998-06-04	60000000.0	264118201.0	103.0	['Comedy', 'Drama']	Peter Weir	
291					The Manns - Novel of a Century (Part 3)			nan	nan					nan	
292					The Manns - Novel of a Century (Part 2)			nan	nan					nan	
293					The Manns - Novel of a Century (Part 1)			nan	nan					nan	
294					Despair		42203.0	de	1978-05-19	0.0	0.0	119.0	['Drama']	Rainer Werner Fassbinder	
295					The Merchant of Four Seasons		10309.0	de	1971-11-04	0.0	0.0	88.0	['Drama']	Rainer Werner Fassbinder	
